region,federal_unit,station,code_wmo,latitude,longitude,altitude,foundation_date
CO,MT,SAPEZAL,A911,-13.30388888,-58.76333333,105,2017-10-20
CO,MT,SERRA NOVA DOURADA,A943,-11.98777777,-51.4261111,441,2019-03-29
CO,MT,SINOP,A917,-11.98222221,-55.56583333,371,2006-10-29
CO,MT,SORRISO,A904,-12.55,-55.71666666,380,2002-12-16
CO,MT,TANGARA DA SERRA,A902,-14.65,-57.43166666,440.01,2002-12-11
CO,MT,VILA BELA DA SANTISSIMA TRINDADE,A922,-15.06277777,-59.87277777,222,2006-12-01
N,AC,CRUZEIRO DO SUL,A108,-7.61055555,-72.405,220,2015-05-14
N,AC,EPITACIOLANDIA,A140,-11.0236111,-68.73499999,217,2009-09-25
N,AC,FEIJO,A138,-8.14277777,-70.3436111,157.17,2009-09-24
N,AC,MARECHAL THAUMATURGO,A137,-8.95,-72.78666666,230,2009-10-27
N,AC,PARQUE ESTADUAL CHANDLESS,A102,-9.3575,-69.92722221,187,2008-08-05
N,AC,PORTO WALTER,A136,-8.26694443,-72.74777777,204,2009-10-29
N,AC,RIO BRANCO,A104,-9.957844,-68.165169,223.52,2008-07-11
N,AM,APUI,A113,-7.21527777,-59.8886111,160,2008-07-19
N,AM,AUTAZES,A120,-2.05638888,-60.02555554,78,2008-04-17
N,AM,BARCELOS,A128,-.95861111,-62.94222221,42,2008-04-19
N,AM,BOCA DO ACRE,A110,-8.77666666,-67.33249999,111.98,2008-07-15
N,AM,COARI,A117,-4.09749999,-63.14527777,33.84,2008-04-12
N,AM,CRMN MANAUS,S103,-3.02249999,-60.05555555,F,2016-12-01
N,AM,DTCEA TABATINGA,S105,-4.25055555,-69.93499999,F,2016-12-01
N,AM,DTCEA TEFE,S117,-3.37722221,-64.72305554,F,2016-12-01
N,AM,EIRUNEPE,A109,-6.650301,-69.86861,121.54,2012-08-31
N,AM,HUMAITA,A112,-7.92277777,-63.12138888,72,2008-04-25
N,AM,ITACOATIARA,A121,-3.13333333,-58.48277777,41.54,2008-04-17
N,AM,LABREA,A111,-7.260681,-64.788501,61.91,2008-07-27
N,AM,MANACAPURU,A119,-3.29472221,-60.62833332,55,2008-04-10
N,AM,MANAUS,A101,-3.10333333,-60.01638888,61.25,2000-05-09
N,AM,MANICORE,A133,-5.7886111,-61.28833333,40.64,2011-12-12
N,AM,MAUES,A122,-3.39888888,-57.6736111,35,2008-04-22
N,AM,NOVO ARIPUANA,A144,-8.0911111,-60.38055554,45,2019-07-18
N,AM,PARINTINS,A123,-2.64055555,-56.75472222,52,2008-04-11
N,AM,PEF ESTIRAO DO EQUADOR,S116,-4.52999999,-71.61749999,F,2016-12-01
N,AM,PEF IPIRANGA,S102,-2.93055554,-69.69527777,F,2016-12-01
N,AM,PEF YAUARETE,S115,.59944444,-69.19194444,F,2016-12-01
N,AM,PRESIDENTE FIGUEIREDO,A126,-2.08499999,-60.04888888,92,2008-04-19
N,AM,RIO URUBU,A125,-2.6336111,-59.60055555,112.84,2008-06-26
N,AM,S. G. DA CACHOEIRA,A134,-.12499999,-67.06111111,90,2011-08-31
N,AM,SANTA ISABEL DO RIO NEGRO,S121,-.41444444,-65.01749999,F,2016-12-01
N,AM,URUCARA,A124,-2.89638888,-57.75833333,17,2008-04-17
N,AP,ITAUBAL,A251,.567833,-50.823528,21,2017-08-24
N,AP,MACAPA,A249,.03527777,-51.0886111,27,2013-12-12
N,AP,OIAPOQUE,A242,3.81361111,-51.8625,15.14,2008-09-11
N,AP,PORTO GRANDE,A244,.69416666,-51.40388888,84.8,2008-09-17
N,PA,ALTAMIRA,A253,-3.27027777,-52.39472221,191,2018-10-25
N,PA,BELEM,A201,-1.41027777,-48.43833333,24,2003-01-20
N,PA,BRAGANCA,A226,-1.04527777,-46.78277777,33,2008-03-11
N,PA,BREVES,A228,-1.68027777,-50.47805554,11,2017-10-20
N,PA,CAMETA,A236,-2.23972221,-49.49972221,9.92,2008-06-20
N,PA,CAPITAO POCO,A248,-1.73472221,-47.0575,81,2011-04-18
N,PA,CASTANHAL,A202,-1.30083333,-47.94805555,47.13,2003-01-24
N,PA,CONCEICAO DO ARAGUAIA,A241,-8.30361,-49.28277,175.74,2008-09-04
N,PA,DOM ELISEU,S107,-4.28999999,-47.55,F,2016-12-01
N,PA,DOM ELISEU,A252,-4.28055554,-47.56388888,251,2018-03-08
N,PA,DTCEA JACAREACANGA,S120,-6.23722221,-57.77499999,F,2016-12-01
N,PA,ITAITUBA,A231,-4.27638888,-55.99305555,13,2008-02-17
N,PA,MARABA,A240,-5.36638888,-49.05111111,116.58,2009-06-25
N,PA,MEDICILANDIA,A209,-3.51083333,-52.96333333,251.68,2008-02-17
N,PA,MINA DO PALITO,A246,-6.31972221,-55.78722221,261,2010-09-28
N,PA,MONTE ALEGRE,A239,-2,-54.07638888,100.53,2012-07-06
N,PA,NOVO REPARTIMENTO,A235,-4.23444444,-49.94277777,106,2008-07-23
N,PA,OBIDOS,A232,-5.36583333,-49.12527777,96,2012-07-05
N,PA,PACAJA,A210,-3.8436111,-50.63805555,89.02,2008-02-27
N,PA,PARAGOMINAS,A212,-3.01027777,-47.34305555,101,2007-10-18
N,PA,PLACAS,A211,-3.8811111,-54.2461111,96,2008-02-14
N,PA,PORTO DE MOZ,A245,-1.82194443,-52.11166666,19,2022-04-07
N,PA,REDENCAO,A254,-8.04333333,-50.00694444,199,2019-07-11
N,PA,RONDON DO PARA,A214,-4.82749999,-48.17333332,203,2008-04-17
N,PA,SALINOPOLIS,A215,-.61888888,-47.35666666,23.18,2008-06-14
N,PA,SANTA MARIA DAS BARREIRAS,A256,-8.72972221,-49.85638888,165,2020-12-18
N,PA,SANTANA DO ARAGUAIA,A233,-9.3386111,-50.35027777,176.75,2008-05-30
N,PA,SANTAREM,A250,-2.5025,-54.72027777,137,2015-09-02
N,PA,SAO FELIX DO XINGU,A216,-6.63972221,-51.95694444,211,2016-11-15
N,PA,SERRA DOS CARAJAS,A230,-6.077427,-50.142265,707,2008-09-03
N,PA,SOURE,A227,-.72777777,-48.51583333,12.54,2008-04-27
N,PA,TOME ACU,A213,-2.59249999,-48.36055555,42.95,2007-10-14
N,PA,TUCUMA,A234,-6.74333333,-51.14194444,320.93,2008-07-18
N,PA,TUCURUI,A229,-3.82277777,-49.67499999,137.94,2008-03-01
N,PA,ULIANOPOLIS,S111,-3.8,-47.51,F,2016-12-01
N,PA,XINGUARA,A247,-7.11055555,-49.9261111,245,2016-09-11
N,RO,ARIQUEMES,A940,-9.94888888,-62.96194444,128.44,2008-07-18
N,RO,CACOAL,A939,-11.44583333,-61.43416666,210,2008-07-20
N,RO,DTCEA GUAJARA-MIRIM,S110,-10.78999999,-65.33277777,F,2016-12-01
N,RO,DTCEA VILHENA,S104,-12.75055555,-60.14916666,F,2016-12-01
N,RO,FORTE PRINCIPE,S101,-12.42999999,-64.41999999,F,2016-12-01
N,RO,PORTO VELHO,A925,-8.76388888,-63.47499999,98,2007-07-11
N,RO,VILHENA,A938,-12.73499999,-60.15777777,583.3,2008-08-26
N,RR,BALIZA,S113,.94777777,-59.74638888,F,2016-12-01
N,RR,BOA VISTA,A135,2.81694443,-60.69083333,94,2010-08-26
N,RR,PACARAIMA,S114,4.47749999,-61.14916666,F,2016-12-01
N,TO,ALMAS,A053,-11.284098,-47.212125,503,2016-04-01
N,TO,ARAGUACU,A054,-12.592213,-49.528738,231,2015-08-19
N,TO,ARAGUAINA,A021,-7.10416666,-48.20111111,226,2007-01-26
N,TO,ARAGUATINS,A044,-5.643725,-48.111839,130.71,2009-03-12
N,TO,CAMPOS LINDOS,A043,-8.15472222,-46.63944444,426.56,2012-10-29
N,TO,COLINAS DO TOCANTINS,A049,-8.092708,-48.478605,200,2016-11-11
N,TO,DIANOPOLIS,A038,-11.59416666,-46.84722221,732,2008-08-30
N,TO,FORMOSO DO ARAGUAIA,A039,-11.98722221,-49.60833333,220,2008-04-27
N,TO,GURUPI,A019,-11.74583333,-49.04972221,287,2006-12-20
N,TO,LAGOA DA CONFUSAO,A055,-10.80833333,-49.84777777,178,2016-11-15
N,TO,MARIANOPOLIS DO TO,A041,-9.57638888,-49.72333332,186.69,2012-11-24
N,TO,MATEIROS,A040,-10.43444444,-45.92194443,791,2012-10-25
N,TO,PALMAS,A009,-10.190744,-48.301811,291.87,2004-12-17
N,TO,PARANA,A010,-12.615,-47.87194443,284.96,2005-03-04
N,TO,PEDRO AFONSO,A020,-8.9686111,-48.19416666,189,2007-01-23
N,TO,PEIXE,A018,-12.015377,-48.544517,250.87,2006-12-01
N,TO,PIUM,A051,-10.47694443,-49.62944443,161,2016-04-06
N,TO,RIO SONO,A050,-9.16,-47.13277777,291,2016-08-03
N,TO,SANTA FE DO ARAGUAIA,A048,-7.124191,-48.781267,171,2016-07-30
N,TO,SANTA ROSA DO TOCANTINS,A052,-11.42888888,-48.18499999,306,2015-08-14
NE,AL,ARAPIRACA,A353,-9.80444444,-36.61916666,236.84,2008-04-27
NE,AL,CORURIPE,A355,-10.1286111,-36.28638888,82.39,2008-09-06
NE,AL,MACEIO,A303,-9.55111111,-35.77027777,80,2003-02-25
NE,AL,PALMEIRA DOS INDIOS,A327,-9.42027777,-36.62027777,278.01,2007-07-11
NE,AL,PAO DE ACUCAR,A323,-9.76583333,-37.44777777,19,2007-07-14
NE,AL,PIRANHAS,A371,-9.62222221,-37.76722221,187,2017-09-20
NE,AL,SAO LUIS DO QUITUNDE,A356,-9.28749999,-35.56583333,13.69,2008-09-08
NE,BA,ABROLHOS,A422,-17.96416666,-38.6961111,25,2008-07-21
NE,BA,AMARGOSA,A434,-13.009468,-39.616881,397.8,2008-07-11
NE,BA,BARRA,A429,-11.08472221,-43.13916666,403,2008-05-12
NE,BA,BARREIRAS,A402,-12.12472221,-45.02694443,474.17,2001-12-20
NE,BA,BELMONTE,A447,-16.08805555,-39.21555555,88,2009-07-02
NE,BA,BOM JESUS DA LAPA,A418,-13.251094,-43.405365,447.75,2007-05-18
NE,BA,BRUMADO,A433,-14.181886,-41.672281,473.37,2008-04-28
NE,BA,BURITIRAMA,A432,-10.72305554,-43.65111111,506.06,2008-05-15
NE,BA,CARAVELAS,A405,-17.73333333,-39.26666666,2.88,2002-12-20
NE,BA,CONDE,A431,-12.03583333,-37.68388888,31.9,2008-04-07
NE,BA,CORRENTINA,A416,-13.332386,-44.617376,551.71,2007-11-09
NE,BA,CRUZ DAS ALMAS,A406,-12.67555554,-39.08944444,219.76,2003-01-19
NE,BA,CURACA,A448,-9.00138888,-39.91277777,370,2015-08-20
NE,BA,DELFINO,A443,-10.455,-41.20694444,646.24,2008-07-15
NE,BA,EUCLIDES DA CUNHA,A442,-10.53722221,-38.99666666,430,2008-03-31
NE,BA,FEIRA DE SANTANA,A413,-12.19583333,-38.96722221,231,2007-05-26
NE,BA,FORMOSO DO RIO PRETO,A452,-11.052164,-45.200769,488,2016-06-02
NE,BA,GUANAMBI,A426,-14.20805555,-42.74944444,882,2008-04-24
NE,BA,IBOTIRAMA,A439,-12.19249999,-43.2125,430,2008-04-28
NE,BA,ILHEUS,A410,-14.65944444,-39.1811111,78,2003-01-25
NE,BA,IPIAU,A445,-14.17138888,-39.69249999,125,2009-06-30
NE,BA,IRECE,A424,-11.32888888,-41.86444444,755,2008-03-31
NE,BA,ITABERABA,A408,-12.51666666,-40.3,249.89,2003-01-29
NE,BA,ITAMARAJU,A455,-17.00694444,-39.55805555,110,2016-05-28
NE,BA,ITAPETINGA,A446,-15.24462,-40.22955,271.48,2009-06-25
NE,BA,ITIRUCU,A407,-13.52833332,-40.11972221,755.61,2003-02-09
NE,BA,JACOBINA,A440,-11.205,-40.465,453,2008-05-01
NE,BA,JEREMOABO,A450,-10.08083332,-38.34583333,261,2015-08-13
NE,BA,LENCOIS,A425,-12.55777777,-41.38888888,438.09,2008-04-05
NE,BA,LUIZ EDUARDO MAGALHAES,A404,-12.152394,-45.829745,760.68,2002-04-18
NE,BA,MACAJUBA,A412,-12.11666666,-40.18333333,380,2003-02-03
NE,BA,MACAUBAS,A454,-13.03888888,-42.61722221,574,2016-04-07
NE,BA,MARAU,A438,-13.90722222,-38.97222221,10,2008-06-22
NE,BA,PIATA,A430,-13.15583333,-41.77416666,1290,2008-05-03
NE,BA,PILAO ARCADO,A449,-10.01833332,-42.50027777,385,2016-05-28
NE,BA,PORTO SEGURO,A427,-16.38916666,-39.18249999,85,2008-07-10
NE,BA,QUEIMADAS,A436,-10.98472221,-39.61694443,310.11,2008-05-23
NE,BA,REMANSO,A423,-9.60277777,-42.10277777,401,2008-03-26
NE,BA,RIBEIRA DO AMPARO,A458,-11.05861111,-38.44416666,182,2018-09-20
NE,BA,SALVADOR,A401,-13.005515,-38.50576,47.56,2000-05-13
NE,BA,SALVADOR (RADIO FAROL),A456,-12.80833333,-38.49583333,31,2018-03-10
NE,BA,SANTA RITA DE CASSIA,A415,-11.00333333,-44.53638888,450,2007-05-28
NE,BA,SENHOR DO BONFIM,A428,-10.44305555,-40.14833333,532.09,2008-03-27
NE,BA,SERRINHA,A441,-11.66444444,-39.02305554,339,2008-05-09
NE,BA,UAUA,A435,-9.833617,-39.495631,450.6,2008-05-20
NE,BA,UNA,A437,-15.28027777,-39.09138888,74.08,2008-06-25
NE,BA,VALENCA,A444,-13.3436111,-39.12666666,105,2009-06-29
NE,BA,VITORIA DA CONQUISTA,A414,-14.8861111,-40.80138888,874.81,2007-06-01
NE,CE,ACARAU,A360,-3.12083332,-40.08694444,76,2009-04-22
NE,CE,BARBALHA,A315,-7.30083333,-39.2711111,409.41,2007-05-31
NE,CE,CAMPOS SALES,A347,-7.07773,-40.362678,577.95,2008-03-07
NE,CE,CRATEUS,A342,-5.1861111,-40.66999999,291,2008-12-11
NE,CE,FORTALEZA,A305,-3.83222221,-38.53777777,26.45,2003-02-18
NE,CE,GUARAMIRANGA,A314,-4.26111111,-38.19749999,38.2,2007-05-26
NE,CE,IGUATU,A319,-6.39666666,-39.27027777,233,2007-05-30
NE,CE,ITAPIPOCA,A359,-3.48416666,-39.5886111,104.49,2008-09-05
NE,CE,JAGUARIBE,A358,-5.90527777,-38.62777777,184,2008-09-10
NE,CE,JAGUARUANA,A339,-4.78694444,-37.76666666,49,2007-11-10
NE,CE,MORADA NOVA,A332,-5.13638888,-38.35638888,43.6,2007-08-24
NE,CE,QUIXADA,A369,-4.97888888,-39.05722222,193,2018-03-20
NE,CE,QUIXERAMOBIM,A325,-5.174568,-39.289393,221.04,2007-07-09
NE,CE,SOBRAL,A306,-3.74805555,-40.34583333,92.07,2003-02-12
NE,CE,TAUA,A324,-6.01749999,-40.28138888,410.87,2007-07-12
NE,CE,TIANGUA,A368,-3.73222221,-41.01194444,756,2018-03-15
NE,MA,ALTO PARNAIBA,A223,-9.10833333,-45.93194443,283.69,2008-06-03
NE,MA,BACABAL,A220,-4.24305555,-44.79499999,28,2008-07-09
NE,MA,BALSAS,A204,-7.45555555,-46.02749999,271.03,2007-10-26
NE,MA,BARRA DO CORDA,A221,-5.50666666,-45.23694444,153,2008-03-06
NE,MA,BURITICUPU,A238,-4.32055554,-46.44944444,174.91,2008-09-11
NE,MA,CAROLINA,A205,-7.337269,-47.459839,182.88,2007-12-04
NE,MA,CAXIAS,A237,-4.821352,-43.343659,84.85,2008-07-13
NE,MA,CHAPADINHA,A206,-3.74277777,-43.35194444,91,2008-09-17
NE,MA,COLINAS,A222,-6.03333333,-44.23333333,179,2008-06-03
NE,MA,ESTREITO,A224,-6.65333333,-47.41833332,182.96,2008-02-27
NE,MA,FAROL de SANTANA,A217,-2.27083332,-43.62388888,8,2008-11-28
NE,MA,GRAJAU,A207,-5.82472221,-46.15944444,230,2008-09-10
NE,MA,IMPERATRIZ,A225,-5.55583333,-47.45972222,117.96,2008-03-01
NE,MA,PREGUICAS,A218,-2.59249999,-42.70722222,.1,2008-11-22
NE,MA,SAO BENTO,S108,-2.7,-44.85,F,2016-12-01
NE,MA,SAO LUIS,A203,-2.52666666,-44.21361111,54.8,2003-01-29
NE,MA,TURIACU,A219,-1.661224,-45.372571,35.86,2008-06-10
NE,MA,ZE DOCA,A255,-3.26916666,-45.65111111,45.5,2019-09-18
NE,PB,AREIA,A310,-6.975451,-35.718128,573.45,2004-11-16
NE,PB,CABACEIRAS,A348,-7.48333333,-36.28638888,391.96,2008-02-28
NE,PB,CAMARATUBA,A352,-6.56083333,-35.13472221,136,2008-05-04
NE,PB,CAMPINA GRANDE,A313,-7.24249999,-35.88888888,547.56,2006-12-22
NE,PB,ITAPORANGA,A373,-7.31833332,-38.14083333,292,2017-11-03
NE,PB,JOAO PESSOA,A320,-7.16583333,-34.81527777,47,2007-07-21
NE,PB,MONTEIRO,A334,-7.89444444,-37.12472221,606.39,2007-08-22
NE,PB,PATOS,A321,-7.07972221,-37.27277777,263.66,2007-07-21
NE,PB,SAO GONCALO,A333,-6.835777,-38.311583,237.04,2007-11-06
NE,PE,ARCO VERDE,A309,-8.433544,-37.055477,683.95,2004-11-20
NE,PE,CABROBO,A329,-8.50305555,-39.31388888,337,2007-09-04
NE,PE,CARUARU,A341,-8.2361111,-35.98583333,550,2007-11-21
NE,PE,FLORESTA,A351,-8.5936111,-38.58388888,332,2008-09-15
NE,PE,GARANHUNS,A322,-8.91095,-36.493381,827.78,2007-07-08
NE,PE,IBIMIRIM,A349,-8.50944444,-37.71166666,434.23,2008-10-14
NE,PE,OURICURI,A366,-7.88472221,-40.10111111,464,2010-08-11
NE,PE,PALMARES,A357,-8.66666666,-35.56805554,164.01,2008-09-04
NE,PE,PETROLINA,A307,-9.388323,-40.523262,372.72,2003-02-21
NE,PE,RECIFE,A301,-8.05916666,-34.95916666,11.3,2004-12-22
NE,PE,SALGUEIRO,A370,-8.05805555,-39.0961111,447,2017-09-15
NE,PE,SERRA TALHADA,A350,-7.95416666,-38.29499999,499.02,2008-07-09
NE,PE,SURUBIM,A328,-7.83694444,-35.7961111,418,2008-03-09
NE,PI,ALVORADA DO GURGUEIA,A336,-8.44305555,-43.86472222,270,2007-11-17
NE,PI,ANGICAL DO PIAUI,A377,-6.08944444,-42.72749999,183,2019-11-14
NE,PI,BAIXA GRANDE DO RIBEIRO,A375,-8.333531,-45.094625,519,2018-03-23
NE,PI,BOM JESUS DO PIAUI,A326,-9.08333333,-44.32638888,296,2007-07-17
NE,PI,CAMPO MAIOR,A376,-4.86416666,-42.14555555,125,2018-11-23
NE,PI,CANTO DO BURITI,A365,-8.11805554,-42.97583332,312.07,2010-06-12
NE,PI,CARACOL,A337,-9.28583333,-43.32444443,515.3,2007-11-10
